Supplier,Purchaser,CDR Group,CDR Method,Status,Tons Purchased,Total price (USD),Tons Delivered,Announcement Date,Announcement Link,Demand-side Marketplace,Supply-side Marketplace,Year,Month,Day
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,5.0,,5.0,2023-12-15 00:00:00,patch order id: ord_prod_c79c148a2376d06a8cd2ecf97e6ccc12,0,Patch,2023,12,15
Douglas County Forest Products,Apollo Global Management,BiCRS,Biochar,delivered,13.0,,13.0,2023-04-25 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,0,Puro,2023,04,25
Carbofex,Unknown,BiCRS,Biochar,delivered,5.0,,5.0,2022-02-04 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2022,02,04
Nordgau,Unknown,BiCRS,Biochar,delivered,16.0,,16.0,2021-09-06 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2021,09,06
Freres Biochar,accuRx,BiCRS,Biochar,delivered,50.0,5100,50.0,2021-12-27 00:00:00,https://registry.puro.earth/carbon-sequestration,Supercritical,Puro,2021,12,27
Carbon Lockdown,Aggregate Purchase,BiCRS,Biomass Burial,undelivered,8.0,,,2023-12-15 00:00:00,patch order id: ord_prod_d467399880486fb80a34260bad355337,0,Patch,2023,12,15
Carbon Capture,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,53.0,,,2023-12-15 00:00:00,patch order id: ord_prod_0576664c708b01ace7c1cc124909504b,0,Patch,2023,12,15
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.0,,0.0,2022-04-12 00:00:00,https://charmindustrial.com/order?orderId=recSXBSoEz0IkjVeJ,0,0,2022,04,12
Husk,Aggregate Purchase,BiCRS,Biochar,undelivered,1.0,,,2023-12-15 00:00:00,patch order id: ord_prod_4f6f5651ad39f642d7dc0d8445e36e4c,0,Patch,2023,12,15
Aggregate Supplier (Marketplace Report),Vestre,BiCRS,Biochar,undelivered,74.0,,,2023-10-01 00:00:00,https://sustainability.lune.co/vestre-as?certificate=2,Down to Earth,Lune,2023,10,01
